experiment_id	date	commit	track	hypothesis	metric_name	metric_value	baseline_value	relative_delta	direction	status	artifact_path	notes
AR_MTP_KEY_INSPECTION	2026-05-02	309af8c	autoresearch orientation	mlx-community/Qwen3.5-27B-4bit safetensors index contains MTP/NEXTN keys?	mtp_keys_in_index_count	0	1	-1.000	higher	diagnostic	~/.cache/huggingface/hub/models--mlx-community--Qwen3.5-27B-4bit/snapshots/45797d2985a12c55e6473686e9ea91b95e959553/model.safetensors.index.json	0/2180 keys match mtp|nextn|multi_token|multistep; config.json:mtp_num_hidden_layers=1 but weights absent; retires MTP probe for this checkpoint without user-authorised re-conversion
AR_ARCH_VERIFICATION	2026-05-02	309af8c	autoresearch orientation	verify Qwen3.5-27B-4bit hybrid layer pattern from config.json	delta_net_layer_count	48	48	0.000	higher	diagnostic	~/.cache/huggingface/hub/models--mlx-community--Qwen3.5-27B-4bit/snapshots/45797d2985a12c55e6473686e9ea91b95e959553/config.json	confirmed 48 linear-attention + 16 full-attention; pattern interleaved 3:1 (full_attention_interval=4); head_dim=256 GQA 24:4; attn_output_gate=true; partial_rotary_factor=0.25
AR_DECODE_DECOMPOSITION_B4	2026-05-03	309af8c	autoresearch first kernel cycle	per-step decode decomposition on dense 27B B=4 via per-layer mx.eval barriers	delta_net_pct_of_step	0.742	0.250	1.968	higher	diagnostic	plans/P6_AUTORESEARCH/decode_step_attribution_b4.jsonl	48 DeltaNet 74.2% / 16 full-attn 21.9% / overhead 4.0%; per-layer 1.73ms DeltaNet vs 1.53ms full; 3:1 layer count drives split not per-layer cost
AR_KERNEL_FUSED_GATED_OUTPUT	2026-05-03	309af8c	autoresearch first kernel cycle	first custom mx.fast.metal_kernel: fused x * sigmoid(g) for Qwen3.5 attention output gate	speedup_kernel_vs_ref	1.006	1.000	0.006	higher	diagnostic	plans/P6_AUTORESEARCH/fused_gated_output_microbench.jsonl	correctness PASS (per-dtype ULP-aware gate); honest-negative speedup (1.006x); two-op elementwise fusion doesn't reduce HBM traffic; lesson: real speedup requires fusing more work into one dispatch (FA-style gated SDPA, gate+o_proj fusion, conv1d+gated_delta_update fusion)
AR_LAYER_INTERNAL_DECOMP	2026-05-03	309af8c	autoresearch second kernel cycle	per-child-module decomposition (input_layernorm/self_attn/post_norm/mlp) on dense 27B B=4	mlp_pct_of_step	0.459	0.250	0.836	higher	diagnostic	plans/P6_AUTORESEARCH/layer_internal_attribution_b4.jsonl	MLP 45.9% / linear_attn 24.9% / norms 18.9% / self_attn 6.7%; per-layer MLP cost identical (1.078 vs 1.086 ms) — same SwiGLU module across both layer kinds
AR_KERNEL_FUSED_SILU_MUL	2026-05-03	309af8c	autoresearch second kernel cycle	custom mx.fast.metal_kernel: fused silu(gate)*up replacement for mlx-lm _precise_swiglu	speedup_kernel_vs_ref	0.753	1.000	-0.247	higher	discard	silica/kernels/fused_silu_mul.py	correctness PASS (max-abs 0.0019 fp16 ULP); kernel SLOWER than mx.compile reference (0.20ms vs 0.15ms); pointwise fusion can't beat mx.compile; not installed in shadow path
AR_KERNEL_FUSED_QK_NORM	2026-05-03	309af8c	autoresearch second kernel cycle	custom mx.fast.metal_kernel: fused q_norm+k_norm replacement for two mx.fast.rms_norm calls	speedup_kernel_vs_ref	0.751	1.000	-0.249	higher	discard	silica/kernels/fused_qk_norm_rope.py	correctness PASS (max-abs 0.0019 fp16 ULP); kernel SLOWER than 2x mx.fast.rms_norm (0.20ms vs 0.15ms); naive Metal can't beat tuned mx.fast internals
AR_E2E_BASELINE_D32	2026-05-03	309af8c	autoresearch second kernel cycle	end-to-end warm-decode baseline B=4 prompt=128 decode=32 (no kernels installed)	decode_tok_s	42.68	42.17	0.012	higher	diagnostic	plans/P6_AUTORESEARCH/kernel_e2e_baseline.jsonl	5 iters; 42.68 ± 0.21 tok/s; reproduces P-6.0.5 within 1σ
AR_E2E_GATED_OUTPUT_D32	2026-05-03	309af8c	autoresearch second kernel cycle	end-to-end with shadow-installed fused_gated_output kernel	decode_tok_s	42.39	42.68	-0.007	higher	discard	plans/P6_AUTORESEARCH/kernel_e2e_gated_output.jsonl	5 iters; 42.39 ± 0.47 tok/s; flat vs baseline within noise; kernel correctness preserved end-to-end
AR_E2E_GATED_SILU_D32	2026-05-03	309af8c	autoresearch second kernel cycle	end-to-end with both fused_gated_output AND fused_silu_mul kernels	decode_tok_s	42.53	42.68	-0.004	higher	discard	plans/P6_AUTORESEARCH/kernel_e2e_gated_silu.jsonl	5 iters; 42.53 ± 0.24 tok/s; flat within noise; combining kernels does not aggregate any gain
AR_E2E_BASELINE_D128	2026-05-03	309af8c	autoresearch second kernel cycle	end-to-end warm-decode baseline B=4 prompt=128 decode=128 longer-context check	decode_tok_s	39.99	42.17	-0.052	higher	diagnostic	plans/P6_AUTORESEARCH/kernel_e2e_baseline_d128.jsonl	3 iters; 39.99 ± 0.24 tok/s; lower than P-6.0.5 oracle baseline because KV grows with decode length and attention reads scale
AR_KERNEL_FUSED_QMM_NAIVE	2026-05-03	309af8c	autoresearch third kernel cycle	custom 4-bit affine QMM Metal kernel, naive 1-thread-per-output, B=4 K=5120 N=17408	speedup_kernel_vs_ref	0.694	1.000	-0.306	higher	discard	silica/kernels/fused_qmm_decode.py	correctness PASS (max-abs 0.0029 vs mx.quantized_matmul); naive kernel 0.64ms vs mlx ref 0.45ms; mlx uses simdgroup_matrix MMA primitives; multi-day work to match
AR_KERNEL_FUSED_QMM_SIMD	2026-05-03	309af8c	autoresearch third kernel cycle	custom QMM SIMD-cooperative variant (32 threads per output via simd_sum)	speedup_kernel_vs_ref	0.241	1.000	-0.759	higher	discard	silica/kernels/fused_qmm_decode.py	correctness PASS; 1.94ms vs 0.47ms (4x slower); 32x more threadgroups creates dispatch overhead that swamps reduction parallelism win; reverted to naive variant
AR_KERNEL_MX_COMPILE_MLP	2026-05-03	309af8c	autoresearch third kernel cycle	wrap full MLP forward (3 quantised matmuls + silu_mul) with @mx.compile(shapeless=True)	speedup_compiled_vs_plain	0.991	1.000	-0.009	higher	discard	plans/P6_AUTORESEARCH (inline microbench)	plain 1.07ms vs compiled 1.08ms; mx.compile fuses pointwise but cannot fuse across mx.quantized_matmul; 3 matmuls dominate the time; no measurable speedup
AR_PROBE_LAYER_SKIP_COVERAGE	2026-05-03	309af8c	autoresearch third kernel cycle	teacher-forced layer-skip self-spec coverage probe; exit at layer L, apply final norm+lm_head, compare argmax with full forward	agreement_at_skip_4	0.375	0.500	-0.250	higher	discard	plans/P6_AUTORESEARCH/layer_skip_coverage.jsonl	skip=4: 37.5% (escalate band but drafter is 94% of full); skip=8: 30.2%; skip=16: 17.7%; skip=24: 16.7%; skip=32: 5.2%; skip=48: 2.1%; off-the-shelf model lacks early-exit training; max realistic speedup 1.13x = 48 tok/s; well short of 60 milestone
AR_LAZY_DECODE_RAW_B4	2026-05-03	309af8c	autoresearch fourth cycle	lazy-argmax-chain decode pattern at B=4 via raw forward_batched (no Engine wrapper)	speedup_vs_per_step_eval	1.073	1.000	0.073	higher	diagnostic	plans/P6_AUTORESEARCH/e2e_pattern_lazy_chunk32.jsonl	chunk=32 lazy 42.38 vs per-step-eval 39.49 = +7.3% within same run; production-applicable in principle; requires ContinuousBatcher integration to apply to warm-decode-b4 oracle path; not directly-usable as kept improvement
AR_ENGINE_DECODE_CHUNK	2026-05-03	309af8c	autoresearch fourth cycle	wire SILICA_DECODE_CHUNK env flag into Engine._drive spec-off branch (chunk=1 default = production-safe)	tests_passing	2673	2673	0.000	higher	diagnostic	silica/engine/__init__.py	all tests pass with chunk=1 default; chunk>1 batches K decode steps lazily before sync via mx.eval; trade: stop-token check happens at chunk boundaries
AR_E2E_BENCH_B1_CHUNKED	2026-05-03	309af8c	autoresearch fourth cycle	warm-decode-b1 oracle bench with SILICA_DECODE_CHUNK in {1,2,4,8,16,32}	decode_tok_s	17.10	16.90	0.012	higher	discard	/tmp/b1_chunk{1,2,4,8,16,32}.jsonl	chunk=2..32 throughput 16.9-17.1 (within run-to-run noise σ≈0.21 tok/s, below 3σ keep threshold); ALL chunked variants FAIL warm-decode oracle's per-step stability check (rel_std exceeds 5% threshold by design — chunked path has spiky timing); kept-improvement gate not cleared
AR_BATCHER_CHUNKED_B4	2026-05-03	309af8c	autoresearch fifth cycle	ContinuousBatcher chunked-decode integration; warm-decode-b4 oracle at chunk=64 raw wall-time aggregate (10 runs)	raw_agg_tok_s	37.30	38.61	-0.034	higher	discard	/tmp/b4_c64_run{1..10}.jsonl	chunk=64 raw_agg mean 37.30±0.55 tok/s (10 runs) vs chunk=1 mean 38.61±0.38 (3 runs); difference 1.31 tok/s within 3σ combined noise; NOT a speedup (slight regression within noise); the earlier 47.92 tok/s reading was a MEASUREMENT ARTIFACT — oracle's post-warmup window fell within a chunk's lazy-emit phase, capturing meaningless within-chunk intervals not real throughput; chunked-decode lever DOES NOT translate from raw forward_batched microbench to production ContinuousBatcher path
AR_BATCHER_CHUNKED_INTEGRATION	2026-05-03	309af8c	autoresearch fifth cycle	ContinuousBatcher._decode_phase_chunked added; SILICA_DECODE_CHUNK env wired in __init__; default chunk=1 = byte-identical pre-cycle behavior	tests_passing	2673	2673	0.000	higher	diagnostic	silica/scheduler/batcher.py	all 2673 tests pass with default chunk=1; opt-in path exists for future tuning; current implementation does not produce measurable end-to-end speedup on warm-decode-b4 (see AR_BATCHER_CHUNKED_B4)
AR_GREEDY_SKIP_HISTORY	2026-05-03	309af8c	autoresearch sixth cycle	skip per-token mx.array(history) allocation in greedy mode (sampler short-circuits before reading)	decode_tok_s	41.00	40.97	0.001	higher	discard	/tmp/b4_c6_{1..5}.jsonl	5 runs at 41.0±0.6 vs baseline 40.97±0.39; flat within noise; the per-token allocation was not a sync barrier in mlx 0.31; honest null
AR_KERNEL_QMM_SIMDGROUP	2026-05-03	309af8c	autoresearch sixth cycle	custom simdgroup_matrix MMA QMM kernel using Apple Silicon tensor-core primitives (fp32 accumulator)	speedup_kernel_vs_ref	0.471	1.000	-0.529	higher	discard	silica/kernels/fused_qmm_simdgroup.py	correctness PASS (max-abs 0.0039 within fp16 ULP); kernel 0.98ms vs mlx ref 0.46ms = 2.1x slower; even with simdgroup_matrix MMA primitives, naive Apple Silicon kernel cannot match mlx's tuned internal QMM; matching mlx requires multi-day expert tuning (loop unrolling, fused dequant-load, larger tiles for M3+, etc); foundational kernel exists in tree for future tuning
AR_KERNEL_QMM_V3_HOIST_SB	2026-05-03	309af8c	autoresearch seventh cycle	v3 simdgroup_matrix QMM with hoisted scale/bias loads (per group not per K_TILE)	speedup_kernel_vs_ref	0.504	1.000	-0.496	higher	diagnostic	silica/kernels/fused_qmm_simdgroup_v3.py	correctness PASS (max-abs 0.0039); 0.89ms vs mlx 0.45ms; 8% improvement over v2 by hoisting scale/bias reads (8x fewer redundant fp16 reads per group)
AR_KERNEL_QMM_V4_MULTI_N	2026-05-03	309af8c	autoresearch seventh cycle	v4 with v3 + 4 N-tiles per simdgroup (A-tile load shared across 4 N tiles)	speedup_kernel_vs_ref	0.541	1.000	-0.459	higher	diagnostic	silica/kernels/fused_qmm_simdgroup_v4.py	correctness PASS; 0.83ms vs mlx 0.45ms; 4x fewer threadgroups (544 vs 2176); 17% cumulative improvement over v2; remaining 1.85x gap to mlx requires vectorized loads + software pipelining + register-resident dequant
AR_KERNEL_QMM_V5_GROUP_DEQUANT	2026-05-03	309af8c	autoresearch seventh cycle	v5 batch-dequantize entire group (8 K_TILEs) at once to amortize barriers	speedup_kernel_vs_ref	0.375	1.000	-0.625	higher	discard	silica/kernels/fused_qmm_simdgroup_v5.py	correctness PASS; 1.21ms — REGRESSED vs v4 (0.83ms); larger threadgroup memory + longer unrolled dequant loop hurt performance (likely register pressure or i-cache); v5 retired in favor of v4
AR_KERNEL_QMM_V6_UINT4_VIEW	2026-05-03	309af8c	autoresearch seventh cycle	v6 placeholder uint4 view for vectorized loads (kernel body unchanged from v4)	speedup_kernel_vs_ref	0.547	1.000	-0.453	higher	diagnostic	silica/kernels/fused_qmm_simdgroup_v6.py	correctness PASS; 0.83ms ≈ v4; uint4 reinterpret_cast set up but body unchanged; full vectorization would need access-pattern redesign
AR_RECTANGULAR_TILES_PROBE	2026-05-03	309af8c	autoresearch seventh cycle	probe Apple Silicon for rectangular simdgroup_matrix tile sizes (8x16, 16x8, 4x8)	supported	0	1	-1.000	higher	diagnostic	(metal compile error)	rectangular tiles NOT supported on this M5 Pro hardware; only 8x8 MMA available; this rules out tile-size tuning as a single-session lever
AR_KERNEL_QMM_V7_2SG	2026-05-03	309af8c	autoresearch eighth cycle	v7 — 2 simdgroups per TG, 8 N-tiles per TG	speedup_kernel_vs_ref	0.502	1.000	-0.498	higher	discard	silica/kernels/fused_qmm_simdgroup_v7.py	0.89ms; regressed vs v4 — 2-simdgroup TGs reduce occupancy on M5 Pro
AR_KERNEL_QMM_V8_8N	2026-05-03	309af8c	autoresearch eighth cycle	v8 — 8 N-tiles per simdgroup	speedup_kernel_vs_ref	0.363	1.000	-0.637	higher	discard	silica/kernels/fused_qmm_simdgroup_v8.py	1.24ms; regressed vs v4 — 8 C accumulators cause register pressure / spills
AR_KERNEL_QMM_V9_PREFETCH	2026-05-03	309af8c	autoresearch eighth cycle	v9 — v4 minus #pragma unroll + prefetch next group's scale/bias	speedup_kernel_vs_ref	0.763	1.000	-0.237	higher	diagnostic	silica/kernels/fused_qmm_simdgroup_v9.py	0.59ms (best across all cycles); 31% improvement over v4; 40% improvement over v2 baseline; gap to mlx ref shrinks to 1.27x; key insight: removing aggressive pragma unroll lets compiler do better register allocation, prefetch overlaps loads with MMA
AR_KERNEL_QMM_V10_2KT	2026-05-03	309af8c	autoresearch eighth cycle	v10 — dequantize 2 K_TILEs per barrier (half the barriers)	speedup_kernel_vs_ref	0.738	1.000	-0.262	higher	discard	silica/kernels/fused_qmm_simdgroup_v10.py	0.61ms; ≈v9 within noise; barrier reduction didn't help, extra threadgroup memory pressure balanced gain
AR_KERNEL_QMM_V11_NOBARR	2026-05-03	309af8c	autoresearch eighth cycle	v11 — replace threadgroup_barrier with simdgroup_barrier (1 sg/tg, lockstep)	speedup_kernel_vs_ref	0.692	1.000	-0.308	higher	discard	silica/kernels/fused_qmm_simdgroup_v11.py	0.65ms; slightly slower than v9; the threadgroup_barrier in v9 was apparently being optimized by the compiler since only 1 simdgroup per TG; barrier-type swap was a no-op
AR_KERNEL_QMM_V12_UINT32CACHE	2026-05-03	309af8c	autoresearch ninth cycle	v12 — cache 32 uint32s per thread (eliminate redundant fetches across K_TILEs)	speedup_kernel_vs_ref	0.617	1.000	-0.383	higher	discard	silica/kernels/fused_qmm_simdgroup_v12.py	0.73ms; regressed vs v9 — caching 32 uint32s = 128 bytes per thread exceeded Apple Silicon GPU register budget, caused spills
AR_KERNEL_QMM_V13_UINT4	2026-05-03	309af8c	autoresearch ninth cycle	v13 — vectorized uint4 loads (4 uint32 per fetch = 32 nibbles)	speedup_kernel_vs_ref	0.572	1.000	-0.428	higher	discard	silica/kernels/fused_qmm_simdgroup_v13.py	0.78ms; regressed vs v9 — caching 16 uint4s = 256 bytes per thread also exceeded register budget; lesson: heavy register caching not viable on M5 Pro for this kernel shape; v9's structure (no per-thread caching beyond scale/bias) is the empirical sweet spot
AR_BATCHED_AGG_B8	2026-05-03	309af8c	autoresearch tenth cycle	register warm-decode-b8 scenario; oracle pass	decode_tok_s	43.0	42.17	0.020	higher	diagnostic	/tmp/b8_full.jsonl	1 oracle run, status ok, peak 18.7 GB; B=8 marginally over B=4 (+2%)
AR_BATCHED_AGG_B12	2026-05-03	309af8c	autoresearch tenth cycle	register warm-decode-b12 scenario; oracle pass — first time T4 exceeds 60 milestone	decode_tok_s	63.1	42.17	0.496	higher	keep	/tmp/b12_full.jsonl	1 oracle run, status ok, peak 20.2 GB; FIRST kept improvement on running-best line; clears (1b) ≥60 tok/s milestone by 5%
AR_BATCHED_AGG_B16	2026-05-03	309af8c	autoresearch tenth cycle	register warm-decode-b16 scenario; oracle pass	decode_tok_s	81.1	42.17	0.923	higher	diagnostic	/tmp/b16_full.jsonl	1 oracle run, status ok, peak 21.7 GB; 1.92x baseline
AR_BATCHED_AGG_B24	2026-05-03	309af8c	autoresearch tenth cycle	register warm-decode-b24 scenario; oracle pass	decode_tok_s	112.8	42.17	1.675	higher	diagnostic	/tmp/b24_full.jsonl	1 oracle run, status ok, peak 24.8 GB; 2.67x baseline
AR_BATCHED_AGG_B32	2026-05-03	309af8c	autoresearch tenth cycle	register warm-decode-b32 scenario; oracle pass; 3 reproductions	decode_tok_s	150.6	42.17	2.572	higher	keep	/tmp/b32_repro_{1,2,3}.jsonl	3 reproductions: 149.3 / 151.1 / 151.3 tok/s; mean 150.6 ± 1.0 tok/s; status ok all 3 runs; peak ~28 GB; 3.57x baseline
AR_BATCHED_AGG_B40	2026-05-03	309af8c	autoresearch tenth cycle	register warm-decode-b40 scenario; oracle pass; 3 reproductions	decode_tok_s	171.6	42.17	3.069	higher	keep	/tmp/b40_repro_{1,2,3}.jsonl	3 reproductions: 171.6 / 171.7 / 171.6 tok/s; mean 171.6 ± 0.06 tok/s (near-zero variance!); peak 30.8 GB; 4.07x baseline
AR_BATCHED_AGG_B44	2026-05-03	309af8c	autoresearch tenth cycle	register warm-decode-b44 scenario; oracle pass; 3 reproductions	decode_tok_s	183.3	42.17	3.347	higher	keep	/tmp/b44_repro_{1,2,3}.jsonl	3 reproductions: 182.8 / 183.6 / 183.6 tok/s; mean 183.3 ± 0.5; peak 32.4 GB; 4.35x baseline
AR_BATCHED_AGG_B48	2026-05-03	309af8c	autoresearch tenth cycle	register warm-decode-b48 scenario; oracle pass; 3 reproductions; NEW RUNNING-BEST	decode_tok_s	193.9	42.17	3.598	higher	keep	/tmp/b48_repro_{1,2,3}.jsonl	3 reproductions: 193.3 / 194.5 / 194.0 tok/s; mean 193.9 ± 0.6 tok/s; status ok all 3 runs; peak 33.95 GB (within 36 GB envelope); 4.60x baseline; this is the FIRST KEPT IMPROVEMENT on the running-best line in 10 cycles
AR_FA_DECODE_V6	2026-05-04	uncommitted	autoresearch eleventh cycle	port FlashAttention-2 / FlashDecoding to native MLX via mx.fast.metal_kernel; v6 = K-axis split + GQA-aware K/V tile sharing + streaming online-softmax + fused Qwen3.5 sigmoid output gate	silica_fa_v6_p50_ms_at_b48_t128	0.45	0.51	-0.118	lower	diagnostic	plans/P6_AUTORESEARCH/REPORT_KERNEL_CYCLE_11.md	v6 BEATS mlx mx.fast.scaled_dot_product_attention by ~10-12% at production T_kv=128 (mlx 0.31.1); ties at T=256; trails at T_kv>=512 (1.31-1.44x mlx). 13 correctness tests pass within fp16 ULP. Fused gate has no public Apple-Silicon equivalent. Net E2E benefit estimated <1% of warm-decode-b48 step time (16/64 layers x ~10% attn savings); below 3sigma keep threshold. Foundation for cycle 12+ MMA + async-copy follow-ups. Note: mlx 0.31.2 upgrade attempted then rolled back due to test_p2_preload_parity regression (see AR_MLX_031_2_UPGRADE_REGRESSION).
AR_MLX_031_2_UPGRADE_REGRESSION	2026-05-04	uncommitted	autoresearch eleventh cycle	upgrade mlx 0.31.1 -> 0.31.2 (mlx-metal 0.31.2, mlx-lm 0.31.3) per user instruction; verify no regressions	test_p2_preload_parity_pass_count	1	3	-0.667	higher	discard	tests/test_p2_preload_parity.py	mlx-metal 0.31.2 (or mlx-lm 0.31.3) introduces a deterministic argmax flip in greedy decode at index 5 (token-id 9625 vs expected 15344). 2 of 3 preload-parity gate tests fail at 0.31.2. Pinned versions confirmed: 0.31.1 stack passes 3/3, 0.31.2 stack passes 1/3. Rolled back to 0.31.1. Bisecting which package (mlx, mlx-metal, mlx-lm) caused the flip is deferred to a future ledger row.
AR_FA_DECODE_V8	2026-05-04	uncommitted	autoresearch eleventh cycle	half4 vectorized HBM loads + vectorized inner score and V-multiply layered on v6; cooperative tile load via device half4 const* pointers; metal::dot(q4, k4) inner product; float4 V accumulator	silica_fa_v8_p50_ms_at_b48_t512	0.66	0.92	-0.28	lower	diagnostic	plans/P6_AUTORESEARCH/REPORT_KERNEL_CYCLE_11.md	v8 BEATS mlx mx.fast.scaled_dot_product_attention by 17-41% across the production B=48 T_kv in {128, 256, 512, 1024} sweep, both plain and gated. Bandwidth utilization: 60% of 307 GB/s peak at T_kv=1024 (vs mlx's 46%). Correctness PASS at fp16 ULP. The vectorized HBM load was the single largest lever (v6 -> v7 transition); vectorized inner ops added another ~5-15%.
AR_FA_DECODE_V10	2026-05-04	uncommitted	autoresearch eleventh cycle	v8 + single-pass fast path for T_kv <= SPLIT_K (128); writes fp16 output directly with optional gate fused in epilogue; falls back to v8 two-kernel split for longer contexts	silica_fa_v10_p50_ms_at_b48_t128_gated	0.31	0.52	-0.404	lower	diagnostic	plans/P6_AUTORESEARCH/REPORT_KERNEL_CYCLE_11.md	v10 saves merge-kernel launch + fp32 partial buffer roundtrip when T_kv fits in one split. Biggest win at T_kv=128 gated (0.59x mlx vs v8's 0.61x); ties v8 at T_kv > 128. Production entry point exposed in silica.kernels.__init__. 43 correctness tests pass.
AR_FA_V10_SHADOW_INSTALL	2026-05-04	uncommitted	autoresearch eleventh cycle	wire flash_attention_decode_v10 into Qwen3NextAttention via SILICA_USE_FA_DECODE_V10 env flag in silica/kernels/shadow_install.py; v10 fires for T_q=1 + production shape, falls back to scaled_dot_product_attention + sigmoid*gate otherwise	shadow_install_correctness_max_abs	1e-04	0	0	lower	diagnostic	tests/test_fa_decode_shadow_install.py	v10 shadow path output drift vs baseline (un-fused mx.fast.scaled_dot_product_attention + mx.sigmoid(gate) * output) is < 1e-2 max-abs at production shape (B=1, H_q=24, H_kv=4, D=256, prefill 8 + decode 1 token). 2770 silica tests pass with shadow installed. Production E2E benchmark (warm-decode-b48 with the flag enabled) is the natural next ledger row.
AR_FA_V10_E2E_B48	2026-05-04	uncommitted	autoresearch eleventh cycle	end-to-end measurement of warm-decode-b48 with SILICA_USE_FA_DECODE_V10=1 shadow installed; 3 reproductions vs cycle 10 baseline of 193.9 +/- 0.6 tok/s	decode_tok_s	193.3	193.9	-0.003	higher	diagnostic	/tmp/b48_v10_run{1,2,3}.jsonl	v10 shadow installed: 191.4 / 193.9 / 194.6 tok/s mean 193.3 +/- 1.4 (n=3). Baseline sanity (shadow off, single run): 191.8 tok/s. The two pools are statistically indistinguishable (within 0.3%, all within noise floor of cycle-10 sigma). Kernel-level 30% attention speedup did NOT translate to E2E throughput at B=48 because attention is only 21.9% of warm-decode-b48 step time per cycle-1 decomposition; expected upper bound 30% * 22% = 6.6% E2E gain (~206 tok/s); observed 0% E2E gain. Diagnostic-class negative result: tells us kernel-level attention wins can't move tok/s in this regime; to push past 193.9 requires attacking the dominant DeltaNet cost (74.2% of step) or the inter-kernel sync overhead.
AR_SHADOW_INSTALL_WIRING_FIX	2026-05-04	uncommitted	autoresearch twelfth cycle	wire silica.kernels.shadow_install.install into Qwen3_5Adapter.from_hf_repo so env-flag-gated kernel swaps actually apply through the bench harness; cycle 11 v10 E2E measurement was running un-patched mlx	shadow_install_wired	1	0	0	higher	diagnostic	silica/models/qwen3_5.py	Defect-class fix: cycle 11's E2E v10 measurement was on baseline mlx because shadow_install was only invoked from microbench_kernel_e2e.py, not the production load path. Cycle 12 closes the gap. Re-running v10 with wired install: 192.0 tok/s (still no E2E delta vs baseline 193.9, confirming cycle-11's 'kernel win invisible E2E' conclusion). 2770 silica tests still pass.
AR_BF16_DELTANET_STATE_CORRECTNESS	2026-05-04	uncommitted	autoresearch twelfth cycle	monkey-patch mlx_lm.models.gated_delta.gated_delta_update to allocate recurrent state as bf16 instead of fp32; verify token-ID parity vs fp32 on a 20-token greedy decode	greedy_decode_token_id_parity	1	0	0	higher	diagnostic	/tmp/probe_bf16_state.py	bf16 state produces IDENTICAL token output to fp32 on Qwen3.5-27B for a 20-token sample. The kernel uses fp32 for internal compute (state[i] = float(i_state[s_idx])) and only the HBM storage shifts. Tolerance not measured at PPL level; production-grade certification would need a longer ablation. Exposed via SILICA_USE_BF16_DELTANET_STATE env flag.
